ImpactN,decr1,decr2,decrS,decR1,decR2,decRS,F or ch 1,F or ch 2
0,1.1610925731246178,0.3244614642178314,1.0315483456965322,inf,inf,inf,0037_chN0,0037_chN1
1,0.1276246774044377,0.5736888575038966,0.5519550882366274,inf,inf,inf,0037_chN0,0037_chN1
2,0.1852375982900972,0.6459811153189651,0.6227692833476507,inf,inf,inf,0037_chN0,0037_chN1
3,0.21389195360282112,0.7429798567087268,0.7218920991200762,inf,inf,inf,0037_chN0,0037_chN1
4,0.209041794179709,0.725753195191223,0.7086617975209905,inf,inf,inf,0037_chN0,0037_chN1
5,0.1414228412554179,0.5680261615140753,0.5446910695012109,inf,inf,inf,0037_chN0,0037_chN1
6,0.15694529555331477,0.6149253647909041,0.5928573029210991,inf,inf,inf,0037_chN0,0037_chN1
7,0.1987578297798428,0.7378155642713583,0.722222360068279,inf,inf,inf,0037_chN0,0037_chN1
8,0.22708801193577563,0.7270111229448755,0.7109842258381054,inf,inf,inf,0037_chN0,0037_chN1
9,0.23711353741631444,0.6738892092667481,0.6644827863419668,inf,inf,inf,0037_chN0,0037_chN1
10,0.19064723123915395,0.6580825313704927,0.6411035310793822,inf,inf,inf,0037_chN0,0037_chN1
11,0.2770738658633248,0.8289263155199046,0.8203236786167915,inf,inf,inf,0037_chN0,0037_chN1
0,0.4320820471933743,0.4906829482665929,0.43043363901616555,0.4320820471933743,0.4906829482665929,0.43043363901616555,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
1,0.3164376889104704,0.40756155274864225,0.31817371420722057,0.1582188444552352,0.20378077637432113,0.15908685710361029,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
2,0.3710573518795428,0.2634476420959584,0.3713135499245668,0.1236857839598476,0.0878158806986528,0.12377118330818893,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
3,0.2688728364924976,0.3157015432560967,0.269924478049975,0.0672182091231244,0.07892538581402417,0.06748111951249375,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
4,0.05032915745292128,0.059109481362338664,0.050299985400940155,0.010065831490584256,0.011821896272467733,0.010059997080188031,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
5,0.03519197321534476,0.02759599653189055,0.035303940303997715,0.005865328869224126,0.004599332755315092,0.005883990050666286,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
6,0.2810416124420317,0.1931394334243874,0.2814229469194785,0.040148801777433095,0.027591347632055344,0.04020327813135407,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
7,0.24180094486864256,0.19698051968330618,0.24135338008775448,0.03022511810858032,0.024622564960413273,0.03016917251096931,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
8,0.49429617486478444,0.33832477900364694,0.49433417008624525,0.054921797207198274,0.037591642111516325,0.05492601889847169,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
9,0.28106859071732454,0.11970713406916736,0.27984777432646196,0.028106859071732455,0.011970713406916736,0.027984777432646196,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
10,0.20596203697047333,0.1758005170556233,0.20567557533985595,0.018723821542770303,0.015981865186874847,0.01869777957635054,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
11,0.5528968049058136,0.5614115530960729,0.5534492989757691,0.04607473374215113,0.04678429609133941,0.046120774914647424,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
0,0.4320820471933743,0.4906829482665929,0.43043363901616555,0.4320820471933743,0.4906829482665929,0.43043363901616555,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
1,0.3164376889104704,0.40756155274864225,0.31817371420722057,0.1582188444552352,0.20378077637432113,0.15908685710361029,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
2,0.3710573518795428,0.2634476420959584,0.3713135499245668,0.1236857839598476,0.0878158806986528,0.12377118330818893,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
3,0.2688728364924976,0.3157015432560967,0.269924478049975,0.0672182091231244,0.07892538581402417,0.06748111951249375,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
4,0.05032915745292128,0.059109481362338664,0.050299985400940155,0.010065831490584256,0.011821896272467733,0.010059997080188031,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
5,0.03519197321534476,0.02759599653189055,0.035303940303997715,0.005865328869224126,0.004599332755315092,0.005883990050666286,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
6,0.2810416124420317,0.1931394334243874,0.2814229469194785,0.040148801777433095,0.027591347632055344,0.04020327813135407,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
7,0.24180094486864256,0.19698051968330618,0.24135338008775448,0.03022511810858032,0.024622564960413273,0.03016917251096931,20251218Сер2__01_ДВ_1_1канал,20251218Сер2__02_ДВ_2_2 канал
